"450396","450336","JOIN_AUFTRAGS_ART","Query Item","400048"
"450460","450336","JOIN_DATUM","Query Item","400048"
"450352","450336","JOIN_KUNDEN_NR","Query Item","400048"
"450496","450336","JOIN_VERTRETER","Query Item","400048"
"450420","450336","KENNWORT","Query Item","400048"
"450424","450336","RA_ARTIKEL_NR","Query Item","400048"
"450340","450336","RA_BRUTTOWERT","Query Item","400048"
"450508","450336","RA_KUNDEN_NR","Query Item","400048"
"450468","450336","RA_NETTOWERT","Query Item","400048"
"450444","450336","RA_RABATT","Query Item","400048"
"450372","450336","RA_RECHNUNGS_ART","Query Item","400048"
"450480","450336","RA_RECHNUNGS_MENGE","Query Item","400048"
"450504","450336","RA_UMSATZ_HF_JAHR","Query Item","400048"
"450368","450336","RA_UMSATZ_HF_MONAT","Query Item","400048"
"440408","440008","BI_210_MW_BESTELLBESTAND","Query Subject","400048"
"440416","440408","BESTELLENDES_WERK","Query Item","400048"
"440476","440408","BESTELL_ART","Query Item","400048"
"440424","440408","BESTELL_NR","Query Item","400048"
"440472","440408","BPSW_OFFENER_WERT","Query Item","400048"
"440480","440408","BPSW_OFFENE_MENGE","Query Item","400048"
"440464","440408","BPS_BESTELL_NR","Query Item","400048"
"440452","440408","BPS_OFFENER_WERT","Query Item","400048"
"440484","440408","BPS_OFFENE_MENGE","Query Item","400048"
"440448","440408","BP_ANZ_UPOS","Query Item","400048"
"440432","440408","BP_BESTELL_NR","Query Item","400048"
"440488","440408","BP_OFFENER_WERT","Query Item","400048"
"440444","440408","BP_OFFENE_MENGE","Query Item","400048"
"440468","440408","HERKUNFTS_KZ","Query Item","400048"
"440460","440408","JOIN_ARTIKEL_NR","Query Item","400048"
"440456","440408","JOIN_DATUM","Query Item","400048"
"440440","440408","JOIN_LIEFERANT_NR","Query Item","400048"
"440428","440408","LIEFERSTATUS","Query Item","400048"
"440420","440408","LIEFERSTATUS_SORT","Query Item","400048"
"440436","440408","UEBERFAELLIG","Query Item","400048"
"440412","440408","WAEHRUNG","Query Item","400048"
"448760","440008","BI_260_MW_LAGERBEST","Query Subject","400048"
"448796","448760","BENUTZER_CREATE","Query Item","400048"
"448804","448760","BEWEGUNGS_ART","Query Item","400048"
"448864","448760","BSTH_ARTIKEL_NR","Query Item","400048"
"448828","448760","BSTH_ENDBEST_MENGE","Query Item","400048"
"448868","448760","BSTH_ENDBEST_SCHROTTWERT","Query Item","400048"
"448784","448760","BSTH_ENDBEST_WERT","Query Item","400048"
"448852","448760","BST_ABGANG_MENGE","Query Item","400048"
"448808","448760","BST_ABGANG_MENGE_2","Query Item","400048"
"448816","448760","BST_ABGANG_WERT","Query Item","400048"
"448764","448760","BST_ABGANG_WERT_2","Query Item","400048"
"448780","448760","BST_ANZ_BUCHUNGEN","Query Item","400048"
"448792","448760","BST_ARTIKEL_NR","Query Item","400048"
"448832","448760","BST_BESTAND_SCHNITT","Query Item","400048"
"448812","448760","BST_ENDBEST_MENGE","Query Item","400048"
"448800","448760","BST_ENDBEST_WERT","Query Item","400048"
"448872","448760","BST_UMSATZ_SCHNITT","Query Item","400048"
"448772","448760","BST_VERSCHROTTUNG_MENGE","Query Item","400048"
"448768","448760","BST_VERSCHROTTUNG_WERT","Query Item","400048"
"448848","448760","BST_ZUGANG_MENGE","Query Item","400048"
"448788","448760","BST_ZUGANG_MENGE_2","Query Item","400048"
"448860","448760","BST_ZUGANG_WERT","Query Item","400048"
"448836","448760","BST_ZUGANG_WERT_2","Query Item","400048"
"448856","448760","HERKUNFT","Query Item","400048"
"448844","448760","JOIN_ARTIKEL_NR","Query Item","400048"
"448824","448760","JOIN_DATUM","Query Item","400048"
"448840","448760","JOIN_LAGERORT","Query Item","400048"
"448776","448760","QUALITAETSMANGEL_KZ","Query Item","400048"
"448820","448760","QUALITAETSMANGEL_KZ_TEXT","Query Item","400048"
"447236","440008","BI_300_FE_KAPA","Query Subject","400048"
"447248","447236","AUFPOS_AUSFUEHR_ZEIT","Query Item","400048"
"447264","447236","AUFPOS_BEARB_ZEIT","Query Item","400048"
"447288","447236","AUFPOS_BEARB_ZEIT_GROB_OFFEN","Query Item","400048"
"447276","447236","AUFPOS_BEARB_ZEIT_OFFEN","Query Item","400048"
"447252","447236","JOIN_ARBEITSPLATZ_NR","Query Item","400048"
"447260","447236","JOIN_DATUM","Query Item","400048"
"447244","447236","KAPA_GEK_STOERZEIT","Query Item","400048"
"447284","447236","KAPA_TAG_SF","Query Item","400048"
"447272","447236","RUECKM_AUSFUEHR_ZEIT","Query Item","400048"
"447268","447236","RUECKM_BEARB_ZEIT","Query Item","400048"
"447240","447236","RUECKM_BEARB_ZEIT_OFFEN","Query Item","400048"
"447256","447236","STOER_BRUTTO","Query Item","400048"
"447280","447236","STOER_NETTO","Query Item","400048"
"450108","440008","DIM_ASM","Query Subject","400048"
"450120","450108","DA_ASM_BUSINESSUNIT_CODE","Query Item","400048"
"450188","450108","DA_ASM_BUSINESSUNIT_TEXT","Query Item","400048"
"450176","450108","DA_ASM_KONTINENT","Query Item","400048"
"450196","450108","DA_ASM_NR","Query Item","400048"
"450128","450108","DA_ASM_REGION","Query Item","400048"
"450172","450108","DA_ASM_TEXT","Query Item","400048"
"450152","450108","DA_ASM_VERTRIEBSGEBIET_NR","Query Item","400048"
"450132","450108","DA_ASM_VERTRIEBSGEBIET_TEXT","Query Item","400048"
"450136","450108","DA_MANDANT_NR","Query Item","400048"
"450144","450108","DA_RSM_BUSINESSUNIT_CODE","Query Item","400048"
"450124","450108","DA_RSM_BUSINESSUNIT_TEXT","Query Item","400048"
"450184","450108","DA_RSM_KONTINENT","Query Item","400048"
"450148","450108","DA_RSM_NR","Query Item","400048"
"450180","450108","DA_RSM_REGION","Query Item","400048"
"450140","450108","DA_RSM_TEXT","Query Item","400048"
"450192","450108","DA_RSM_VERTRIEBSGEBIET_NR","Query Item","400048"
"450112","450108","DA_RSM_VERTRIEBSGEBIET_TEXT","Query Item","400048"
"450164","450108","DA_USER1","Query Item","400048"
"450168","450108","DA_USER2","Query Item","400048"
"450156","450108","DA_USER3","Query Item","400048"
"450160","450108","DA_USER4","Query Item","400048"
"450116","450108","DA_USER5","Query Item","400048"
"451888","440008","DIM_ASM_HIST","Query Subject","400048"
"451900","451888","DA_ASM_BUSINESSUNIT_CODE","Query Item","400048"
"451968","451888","DA_ASM_BUSINESSUNIT_TEXT","Query Item","400048"
"451956","451888","DA_ASM_KONTINENT","Query Item","400048"
"451976","451888","DA_ASM_NR","Query Item","400048"
"451908","451888","DA_ASM_REGION","Query Item","400048"
"451952","451888","DA_ASM_TEXT","Query Item","400048"
"451932","451888","DA_ASM_VERTRIEBSGEBIET_NR","Query Item","400048"
"451912","451888","DA_ASM_VERTRIEBSGEBIET_TEXT","Query Item","400048"
"451916","451888","DA_MANDANT_NR","Query Item","400048"
